date,open,volume,high,low,average,
2016/11/16,183.93,3432668,182.65,184.73,181.21,
2016/10/28,199.97,4273456,204,205.32,199.83,
2016/01/21,199.97,3164424,201.55,203.23,195.02,
2016/01/22,202.55,3122066,204.801,205.5,199.03,
2016/05/11,208.96,5159640,207.59,215.48,206.05,
2016/05/11,208.96,5159640,207.59,215.48,206.05,2015/11/12,212.94,2913511,217.85,219,212.66,
2016/05/31,223.23,2786682,223.04,224.75,221.5,
2017/01/09,231.28,3972716,228.97,231.92,228,
2016/05/02,241.8,3838958,241.5,243.19,234.82,
2017/03/08,246.87,3726746,247,250.07,245.32,
2017/02/07,257.48,4244063,258.19,260,256.42,
2018/05/16,286.48,5669644,283.83,288.81,281.56,
2018/07/11,318.96,4878595,315.8,321.94,315.07,
2018/08/27,319.27,13062650,318,322.435,308.81,
2017/10/27,320.87,6968365,319.75,324.59,316.66,
2018/07/18,323.85,5610085,325,325.5,316.25,
2017/09/27,340.97,6027375,349.9,351.489,340.5,
2018/06/28,349.93,8388172,348.66,357.02,346.11,
2017/06/26,377.49,6596854,386.69,386.95,373.1,