date,open,volume,high,low,average,
2016/11/16,183.93,3432668,182.65,184.73,181.21,
2016/10/18,199.1,5676046,195.99,199.47,193.26,
2016/10/28,199.97,4273456,204,205.32,199.83,
2016/01/21,199.97,3164424,201.55,203.23,195.02,
2016/01/22,202.55,3122066,204.801,205.5,199.03,
2016/05/11,208.96,5159640,207.59,215.48,206.05,
2016/05/11,208.96,5159640,207.59,215.48,206.05,2015/11/12,212.94,2913511,217.85,219,212.66,
2016/05/31,223.23,2786682,223.04,224.75,221.5,
2016/05/26,225.12,4066512,220.5,225.26,219.05,
2017/01/09,231.28,3972716,228.97,231.92,228,
2016/05/02,241.8,3838958,241.5,243.19,234.82,
2017/03/09,244.9,3876494,247.63,248.66,243,
2017/03/08,246.87,3726746,247,250.07,245.32,
2018/04/02,252.48,16093290,256.26,260.332,244.59,
2017/02/07,257.48,4244063,258.19,260,256.42,
2017/02/22,273.51,8537811,280.31,283.45,272.6,
2018/05/16,286.48,5669644,283.83,288.81,281.56,
2018/10/03,294.8,7982272,303.33,304.6,291.57,
2017/04/21,305.6,4501958,302,306.4,300.42,
2017/05/15,315.88,7606854,318.38,320.2,312.53,
2018/07/11,318.96,4878595,315.8,321.94,315.07,
2018/08/27,319.27,13062650,318,322.435,308.81,
2017/10/27,320.87,6968365,319.75,324.59,316.66,
2018/07/18,323.85,5610085,325,325.5,316.25,
2017/09/27,340.97,6027375,349.9,351.489,340.5,
2018/02/28,343.06,6066044,352.57,355.24,342.22,
2018/06/28,349.93,8388172,348.66,357.02,346.11,
2017/10/19,351.81,5055715,355.56,357.147,348.2,
2017/06/26,377.49,6596854,386.69,386.95,373.1,