date,open,volume,high,low,average,
2015/10/29,211.63,1794743,211.75,213.748,210.64,
2015/10/30,206.93,4432433,210.4,211.63,203.89,
2015/12/07,231.13,3140864,227.7,235.63,226.15,
2016/01/21,199.97,3164424,201.55,203.23,195.02,
2016/01/22,202.55,3122066,204.801,205.5,199.03,
2016/02/04,175.33,4379442,170.7,175.98,166.99,
2016/02/08,147.99,9306754,157.105,157.15,146,
2016/03/03,195.74,4822993,188.28,197.42,184.22,
2016/03/31,229.77,7975638,229.34,237.42,225.01,
2016/04/21,248.29,2777079,248.99,250.9,246.91,
2016/05/02,241.8,3838958,241.5,243.19,234.82,
2016/05/10,208.69,4068053,207.55,209.47,205,
2016/05/11,208.96,5159640,207.59,215.48,206.05,
2016/05/11,208.96,5159640,207.59,215.48,206.05,
2016/05/26,225.12,4066512,220.5,225.26,219.05,
2016/05/31,223.23,2786682,223.04,224.75,221.5,
2016/06/01,219.56,2982270,221.48,222.4,216.89,
2016/06/15,217.7,2905002,216.95,221.9,215.13,
2016/09/16,205.4,3104266,200.42,205.7,199,
2016/09/29,200.7,2714040,205.6,207.33,200.58,
2016/10/18,199.1,5676046,195.99,199.47,193.26,
2016/10/28,199.97,4273456,204,205.32,199.83,
2016/11/16,183.93,3432668,182.65,184.73,181.21,
2016/11/16,183.93,3432668,182.65,184.73,181.21,
2016/12/22,208.45,3108427,208.22,209.99,206.5,
2017/01/09,231.28,3972716,228.97,231.92,228,
2017/02/07,257.48,4244063,258.19,260,256.42,
2017/02/07,257.48,4244063,258.19,260,256.42,
2017/02/22,273.51,8537811,280.31,283.45,272.6,
2017/03/08,246.87,3726746,247,250.07,245.32,
2017/03/09,244.9,3876494,247.63,248.66,243,
2017/03/23,254.78,3309844,255.39,257.672,253.3,
2017/04/04,303.7,10108230,296.89,304.81,294.53,
2017/04/20,302.51,6145961,306.51,309.15,300.23,
2017/04/21,305.6,4501958,302,306.4,300.42,
2017/05/15,315.88,7606854,318.38,320.2,312.53,
2017/05/15,315.88,7606854,318.38,320.2,312.53,
2017/05/18,313.06,5609153,307,313.94,305.31,
2017/05/25,316.83,5000432,311.02,316.97,307.81,
2017/05/25,316.83,5000432,311.02,316.97,307.81,
2017/05/26,325.14,7793009,317.28,325.49,316.31,
2017/06/26,377.49,6596854,386.69,386.95,373.1,
2017/07/27,334.46,8285879,346,347.5,326.29,
2017/08/08,365.22,7431838,357.53,368.58,357.4,
2017/08/24,352.93,4571574,352.52,356.66,349.74,
2017/09/26,345.25,7149649,350.93,351.24,340.9,
2017/09/27,340.97,6027375,349.9,351.489,340.5,
2017/10/12,355.68,4073552,352.95,359.78,352.64,
2017/10/16,350.6,5373090,353.76,354.48,347.16,
2017/10/19,351.81,5055715,355.56,357.147,348.2,
2017/10/27,320.87,6968365,319.75,324.59,316.66,
2017/11/13,315.4,7565242,300.13,316.8,299.11,
2018/01/03,317.25,4438520,321,325.25,315.55,
2018/01/18,344.57,5679629,345.67,352.3,343.74,
2018/02/26,357.42,4334500,353.5,359,352.355,
2018/02/28,343.06,6066044,352.57,355.24,342.22,
2018/03/12,345.51,8252919,328.61,347.21,326.5,
2018/03/13,341.84,5960636,344.92,345.12,336.264,
2018/04/02,252.48,16093290,256.26,260.332,244.59,
2018/04/05,305.72,19025860,289.34,306.26,288.2,
2018/04/18,293.35,6531563,291.08,300.24,288.16,
2018/05/16,286.48,5669644,283.83,288.81,281.56,
2018/06/28,349.93,8388172,348.66,357.02,346.11,
2018/07/11,318.96,4878595,315.8,321.94,315.07,
2018/07/18,323.85,5610085,325,325.5,316.25,
2018/08/27,319.27,13062650,318,322.435,308.81,
2018/09/10,285.5,14232250,273.26,286.03,271,
2018/10/03,294.8,7982272,303.33,304.6,291.57,
2018/10/04,281.83,9638885,293.95,294,277.67,2015/11/12,212.94,2913511,217.85,219,212.66,