10,1.2707e-06,0,9
20,1.7249e-06,0,19
30,2.4786e-06,0,29
40,3.0938e-06,12.3,51.3
50,4.1389e-06,28.4,77.4
60,4.4969e-06,32.1,91.1
70,2.42834e-05,43.1,112.1
10,8.179e-07,0,9
20,1.1002e-06,0,19
30,1.5762e-06,0,29
40,1.8152e-06,14.9,53.9
50,3.0741e-06,26.3,75.3
60,3.9854e-06,38.2,97.2
70,3.6145e-06,46.9,115.9
10,2.4732e-06,23.2,32.2
20,5.5701e-06,98.4,117.4
30,8.5515e-06,218.6,247.6
40,1.35438e-05,372,411
50,1.94272e-05,596.2,645.2
60,2.66913e-05,922.8,981.8
70,3.37771e-05,1212.8,1281.8
10,2.8059e-06,22.6,31.6
20,5.9392e-06,96.2,115.2
30,9.057e-06,238.9,267.9
40,1.27687e-05,368.8,407.8
50,1.94681e-05,608.8,657.8
60,2.82695e-05,859.3,918.3
70,3.17574e-05,1195.7,1264.7
