10,1.2732e-06,0,9
20,1.9107e-06,0,19
30,1.787e-06,0,29
40,2.7387e-06,0,39
50,2.526e-06,0,49
60,3.2537e-06,0,59
70,3.7729e-06,0,69
10,1.0838e-06,0,9
20,9.669e-07,0,19
30,1.3248e-06,0,29
40,1.8133e-06,0,39
50,1.8634e-06,0,49
60,2.2947e-06,0,59
70,2.6185e-06,0,69
10,2.7426e-06,21.1,30.1
20,5.3716e-06,96.6,115.6
30,9.9047e-06,206.4,235.4
40,1.56952e-05,379.4,418.4
50,1.95998e-05,540.9,589.9
60,2.69149e-05,844.2,903.2
70,3.45268e-05,1147,1216
10,2.6537e-06,20.3,29.3
20,5.5802e-06,86.3,105.3
30,1.07598e-05,210.6,239.6
40,1.70731e-05,381.6,420.6
50,2.04552e-05,616.4,665.4
60,2.91236e-05,840.7,899.7
70,3.98185e-05,1209.8,1278.8
