10,1.1893e-06,0,9
20,1.7605e-06,0,19
30,2.0652e-06,0,29
40,2.2864e-06,4.7,43.7
50,2.4995e-06,11.9,60.9
60,3.3717e-06,18.9,77.9
70,4.962e-06,28.5,97.5
10,7.637e-07,0,9
20,1.1024e-06,0,19
30,1.2215e-06,0,29
40,1.4599e-06,4.7,43.7
50,1.9047e-06,11.9,60.9
60,2.2846e-06,18.9,77.9
70,2.7724e-06,28.5,97.5
10,2.1953e-06,23,32
20,4.477e-06,91.6,110.6
30,8.3763e-06,201.6,230.6
40,1.17698e-05,365.1,404.1
50,1.75975e-05,591.8,640.8
60,2.101e-05,834.6,893.6
70,2.74448e-05,1147.6,1216.6
10,2.3232e-06,23.9,32.9
20,5.452e-06,95.6,114.6
30,7.4174e-06,209.6,238.6
40,1.35545e-05,364.5,403.5
50,1.85204e-05,575,624
60,1.99195e-05,824.4,883.4
70,2.69729e-05,1128.1,1197.1
